w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
w,0,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,w
w,,w,,w,,w,b,w,,w,,w,,w,,w,b,w,,w,,w,,w,,w,,w,,w
w,f,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,w
w,2,w,,w,,w,,w,,w,,w,,w,,w,,w,,w,,w,,w,b,w,,w,,w
w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w
w,,w,,w,,w,,w,,w,b,w,,w,,w,,w,,w,,w,,w,,w,,w,,w
w,3,f,,,,,,,,,,,,,,,,,,,b,,,,,,f,d,,w
w,f,w,,w,,w,,w,,w,,w,,w,,w,,w,,w,,w,,w,,w,,w,,w
w,,,,,,,,,,,,,,,b,,,,,,,,,,,,,,,w
w,f,w,,w,,w,,w,,w,,w,,w,,w,,w,,w,,w,,w,,w,,w,,w
w,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w
w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
